name,url,author,date
Apple’s latest AirPods Pro have hit their all-time low at Amazon,https://www.theverge.com/2023/4/8/23674577/apple-airpods-pro-ring-video-doorbell-pro-2-apple-ipad-amazon-kindle-deal-sale,SHEENA VASANI,APR 8
11 ways to power up your gaming on your PS5,https://www.theverge.com/23673999/ps5-how-to-manage-playstation-console,DAVID NIELD,APR 8
Dell XPS 13 review: Dell is coasting (and that’s fine),https://www.theverge.com/23674395/dell-xps-13-2022-intel-review,MONICA CHIN,APR 8
Are Amazon Sidewalk’s privacy protocols ready for the real world?,https://www.theverge.com/2023/4/8/23671594/amazon-sidewalk-privacy-echo-ring-smart-home,VICTORIA SONG,APR 8
Halo veteran Joseph Staten is leaving Microsoft,https://www.theverge.com/2023/4/7/23674958/joe-staten-halo-infinite-destiny-microsoft-bungie,JAY PETERS,APR 8
Twitter is now marking Substack links as unsafe,https://www.theverge.com/2023/4/7/23674936/twitter-marking-substack-links-unsafe,MITCHELL CLARK AND JAY PETERS,APR 8
Microsoft locks down game emulation on the Xbox Series X and Series S,https://www.theverge.com/2023/4/7/23674707/microsoft-xbox-emulators-ban-nintendo,EMMA ROTH,APR 8
Microsoft’s rolling out Edge’s AI image generator to everyone,https://www.theverge.com/2023/4/6/23672862/microsoft-image-creator-edge-sidebar-dall-e-ai-generator,MITCHELL CLARK,APR 8
Rivian’s new ‘Performance’ powertrain lets R1T reservation holders keep their big battery,https://www.theverge.com/2023/4/7/23673961/rivian-performance-dual-motor-availability-max-pack-battery,UMAR SHAKIR,APR 8
One of Elon’s handpicked ‘Twitter Files’ writers quits Twitter over its Substack restrictions,https://www.theverge.com/2023/4/7/23674705/twitter-files-elon-musk-substack-matt-taibbi,MITCHELL CLARK,APR 8
"Western Digital’s My Cloud is still down, but there’s a workaround",https://www.theverge.com/2023/4/7/23674621/western-digital-my-cloud-data-breach-local-access,MONICA CHIN,APR 8
Substack writers say Twitter’s newsletter ban is bad for business — and worse for Twitter,https://www.theverge.com/2023/4/7/23674427/substack-twitter-writers-founders-mad-restrictions-elon-musk,JAY PETERS AND EMMA ROTH,APR 8
"Microsoft sold software to sanctioned Russian companies, says US government",https://www.theverge.com/2023/4/7/23674335/microsoft-sanctions-violations-treasury-fees-russia,MITCHELL CLARK,APR 8
How one Twitter account disappeared for a week — and why nobody knew how to fix it,https://www.theverge.com/2023/4/7/23674332/twitter-locked-account-age-screening-sbnation,DAVID PIERCE,APR 7
"Someone keeps accusing fanfiction authors of writing their fic with AI, and nobody knows why",https://www.theverge.com/2023/4/7/23674123/ao3-fanfic-spam-comments-ai-writing,ADI ROBERTSON,APR 7
Fortnite and Roblox are dueling for the future of user-built games,https://www.theverge.com/23674121/fortnite-roblox-user-generated-games,ARON GARST,APR 7
Now everyone claims Microsoft will build a data center on the Foxconn land in Wisconsin,https://www.theverge.com/2023/4/7/23673464/microsoft-data-center-foxconn-wisconsin,JOSH DZIEZA AND NILAY PATEL,APR 7
Substack founders fire back at Twitter over restrictions and rules that ‘change on a whim’,https://www.theverge.com/2023/4/7/23674185/substack-twitter-retweet-like-disabled-block,JAY PETERS AND EMMA ROTH,APR 7
The stainless steel Apple Watch Series 7 is down to its lowest price yet,https://www.theverge.com/2023/4/7/23673054/apple-watch-series-7-logitech-mx-keyboard-fujifilm-instax-printer-deal-sale,ANTONIO G. DI BENEDETTO,APR 7
Google will shut down Dropcam and Nest Secure in 2024,https://www.theverge.com/2023/4/7/23673165/google-nest-dropcam-nest-secure-eol,NATHAN EDWARDS,APR 7
Substack had negative revenue,https://www.theverge.com/2023/4/7/23674178/substack-burn-2021-numbers-bad,ELIZABETH LOPATTO,APR 7
Sony tells regulators Microsoft could sabotage its ability to win Digital Foundry comparisons,https://www.theverge.com/2023/4/7/23673933/sony-cma-antitrust-regulators-microsoft-activision-call-of-duty-playstation,EMMA ROTH,APR 7
"Twitter now disables likes, replies, and retweets if a tweet has Substack links",https://www.theverge.com/2023/4/6/23673043/twitter-substack-embeds-bots-tools-api,MITCHELL CLARK,APR 7
NASA’s powerful new air quality monitor has launched into space,https://www.theverge.com/2023/4/7/23673162/nasa-air-quality-monitor-satellite-launch-tempo,JUSTINE CALMA,APR 7
The sudden death and rebirth of Tweetbot,https://www.theverge.com/23653556/tweetbot-twitter-api-elon-musk-mastodon,ROB DUBBIN,APR 7
Three new Star Wars movies are on the way,https://www.theverge.com/23673917/star-wars-new-movies-lucasfilm-actors-directors,CHARLES PULLIAM-MOORE,APR 7
Star Wars: Ahsoka starts streaming in August 2023,https://www.theverge.com/2023/4/7/23673907/star-wars-ahsoka-disney-plus-trailer-streaming-date-august-2023,ANDREW WEBSTER,APR 7
